,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Max Temp C°
71,mar del plata,0,AR,1554164002,57,-46.43,-67.52,292.746,12.0,144.85888888888888
72,hambantota,0,LK,1554164124,100,6.12,81.12,299.546,1.95,148.63666666666666
73,leh,20,IN,1554164142,84,34.16,77.58,254.246,0.55,123.47000000000001
74,laramie,90,US,1554164012,38,41.31,-105.59,280.37,7.7,137.98333333333335
75,machico,40,PT,1554164109,62,32.7,-16.77,289.15,2.1,142.86111111111111
76,chokurdakh,0,RU,1554163949,91,70.62,147.9,258.646,5.25,125.91444444444446
77,sangar,80,RU,1554164143,73,63.92,127.47,268.446,0.75,131.3588888888889
78,genhe,0,CN,1554164041,52,50.78,121.52,266.246,2.5,130.13666666666666
79,kapaa,90,US,1554163712,61,22.08,-159.32,299.15,4.6,148.41666666666666
80,bethel,90,US,1554159360,76,60.79,-161.76,281.15,3.1,138.41666666666666
81,georgetown,20,GY,1554159600,83,6.8,-58.16,300.15,5.1,148.97222222222223
82,cidreira,0,BR,1554164144,81,-30.17,-50.22,296.246,5.65,146.80333333333334
83,vila do maio,0,CV,1554159600,73,15.13,-23.22,294.15,7.2,145.63888888888889
84,kamaishi,75,JP,1554159600,78,39.28,141.86,273.15,1.5,133.97222222222223
85,homer,1,US,1554164133,75,59.64,-151.54,280.15,5.1,137.86111111111111
86,yevsino,0,RU,1554164146,75,54.42,83.32,266.096,3.0,130.05333333333334
87,vila velha,40,BR,1554163687,88,-3.71,-38.6,298.15,2.1,147.86111111111111
88,butaritari,80,KI,1554163890,100,3.07,172.79,301.646,4.9,149.80333333333334
89,nizhniy tsasuchey,0,RU,1554163925,63,50.52,115.13,268.546,1.4,131.41444444444446
90,borgarnes,75,IS,1554164113,74,64.54,-21.92,272.59,8.7,133.6611111111111
91,santa cruz de tenerife,92,ES,1554164129,100,28.47,-16.25,290.15,0.5,143.41666666666666
92,tezu,92,IN,1554164147,99,27.93,96.16,284.446,0.7,140.2477777777778
93,saint george,0,GR,1554164012,81,39.45,22.34,285.37,1.15,140.76111111111112
94,zapresic,0,HR,1554164125,81,45.86,15.81,283.15,1.95,139.52777777777777
95,dryden,90,CA,1554159600,55,49.79,-92.84,274.15,6.2,134.52777777777777
96,crotone,8,IT,1554164149,100,39.09,17.12,287.746,2.35,142.0811111111111
97,kaitangata,92,NZ,1554163829,69,-46.28,169.85,285.93,4.47,141.07222222222222
98,esperance,20,TT,1554163808,69,10.24,-61.45,300.15,4.1,148.97222222222223
99,turukhansk,68,RU,1554163965,94,65.8,87.96,270.096,3.8,132.27555555555557
100,astana,0,KZ,1554161400,100,51.13,71.43,270.15,3.0,132.30555555555554
101,ballina,8,IE,1554163984,82,54.11,-9.15,278.15,1.79,136.75
102,fairbanks,1,US,1554164045,72,64.84,-147.72,283.71,1.8,139.83888888888887
103,narsaq,92,GL,1554162600,58,60.91,-46.05,269.15,2.1,131.75
104,ihosy,8,MG,1554164151,81,-22.4,46.13,285.796,1.1,140.99777777777777
105,hithadhoo,68,MV,1554163998,100,-0.6,73.08,301.096,3.45,149.4977777777778
106,ust-nera,8,RU,1554164151,72,64.57,143.24,259.746,1.1,126.52555555555556
107,hamilton,75,BM,1554163276,82,32.3,-64.78,293.15,5.1,145.08333333333331
108,iqaluit,20,CA,1554163921,64,63.75,-68.52,256.15,3.6,124.52777777777777
109,poltavka,0,RU,1554164152,90,54.36,71.76,274.246,5.25,134.5811111111111
110,mount isa,0,AU,1554161400,44,-20.73,139.49,299.15,4.1,148.41666666666666
111,talnakh,92,RU,1554163989,93,69.49,88.39,268.746,4.3,131.52555555555554
112,nemuro,20,JP,1554161400,51,43.32,145.57,275.15,1.0,135.08333333333331
113,tazovskiy,76,RU,1554164153,90,67.47,78.7,267.746,5.0,130.97
114,wad rawah,0,SD,1554164153,25,15.16,33.13,291.496,4.45,144.16444444444443
115,tangzhai,80,CN,1554164154,98,26.73,109.0,285.496,1.5,140.8311111111111
116,saskylakh,44,RU,1554164154,71,71.97,114.09,263.346,3.45,128.52555555555557
117,swan hill,8,AU,1554164154,68,-35.34,143.56,291.496,2.05,144.16444444444443
118,beloha,0,MG,1554163953,89,-25.17,45.06,292.646,2.4,144.80333333333334
119,barrow,0,AR,1554164103,50,-38.31,-60.23,296.246,5.25,146.80333333333334
120,cape town,0,ZA,1554164105,58,-33.93,18.42,288.71,7.2,142.61666666666667
121,lavrentiya,36,RU,1554163890,100,65.58,-170.99,270.746,0.75,132.63666666666666
122,banda aceh,76,ID,1554164156,99,5.56,95.32,297.246,1.05,147.35888888888888
123,east london,88,ZA,1554164156,100,-33.02,27.91,291.096,7.95,143.94222222222223
124,deputatskiy,0,RU,1554164156,79,69.3,139.9,260.446,2.3,126.91444444444447
125,mabaruma,0,GY,1554164157,81,8.2,-59.78,299.046,3.25,148.35888888888888
126,ayan,20,TR,1554164080,74,40.67,33.6,267.196,0.95,130.66444444444446
127,rumonge,0,BI,1554164157,100,-3.97,29.44,294.746,1.2,145.97
128,atuona,36,PF,1554164107,100,-9.8,-139.03,301.146,4.7,149.52555555555557
